2016-01-09 09:37:24 startup archives unpack
2016-01-09 09:37:25 upgrade libgnutls-openssl27:amd64 3.3.8-3ubuntu3.1 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 status half-configured libgnutls-openssl27:amd64 3.3.8-3ubuntu3.1
2016-01-09 09:37:25 status unpacked libgnutls-openssl27:amd64 3.3.8-3ubuntu3.1
2016-01-09 09:37:25 status half-installed libgnutls-openssl27:amd64 3.3.8-3ubuntu3.1
2016-01-09 09:37:25 status half-installed libgnutls-openssl27:amd64 3.3.8-3ubuntu3.1
2016-01-09 09:37:25 status unpacked libgnutls-openssl27:amd64 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 status unpacked libgnutls-openssl27:amd64 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 upgrade libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.1 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 status half-configured libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.1
2016-01-09 09:37:25 status unpacked libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.1
2016-01-09 09:37:25 status half-installed libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.1
2016-01-09 09:37:25 status half-installed libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.1
2016-01-09 09:37:25 status unpacked libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 status unpacked libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 startup packages configure
2016-01-09 09:37:25 configure libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.2 <none>
2016-01-09 09:37:25 status unpacked libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 status half-configured libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 status installed libgnutls-deb0-28:amd64 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 status triggers-pending libc-bin:amd64 2.21-0ubuntu4
2016-01-09 09:37:25 configure libgnutls-openssl27:amd64 3.3.8-3ubuntu3.2 <none>
2016-01-09 09:37:25 status unpacked libgnutls-openssl27:amd64 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 status half-configured libgnutls-openssl27:amd64 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 status installed libgnutls-openssl27:amd64 3.3.8-3ubuntu3.2
2016-01-09 09:37:25 trigproc libc-bin:amd64 2.21-0ubuntu4 <none>
2016-01-09 09:37:25 status half-configured libc-bin:amd64 2.21-0ubuntu4
2016-01-09 09:37:25 status installed libc-bin:amd64 2.21-0ubuntu4
2016-01-09 09:37:25 startup packages configure
2016-01-09 09:37:26 startup archives unpack
2016-01-09 09:37:26 install jq:amd64 <none> 1.4-2.1
2016-01-09 09:37:26 status half-installed jq:amd64 1.4-2.1
2016-01-09 09:37:26 status triggers-pending man-db:amd64 2.7.0.2-5
2016-01-09 09:37:26 status unpacked jq:amd64 1.4-2.1
2016-01-09 09:37:26 status unpacked jq:amd64 1.4-2.1
2016-01-09 09:37:26 trigproc man-db:amd64 2.7.0.2-5 <none>
2016-01-09 09:37:26 status half-configured man-db:amd64 2.7.0.2-5
2016-01-09 09:37:26 status installed man-db:amd64 2.7.0.2-5
2016-01-09 09:37:26 startup packages configure
2016-01-09 09:37:26 configure jq:amd64 1.4-2.1 <none>
2016-01-09 09:37:26 status unpacked jq:amd64 1.4-2.1
2016-01-09 09:37:26 status half-configured jq:amd64 1.4-2.1
2016-01-09 09:37:26 status installed jq:amd64 1.4-2.1
2016-01-09 09:37:26 startup packages configure
2016-01-09 09:37:28 startup archives unpack
2016-01-09 09:37:28 install libxslt1.1:amd64 <none> 1.1.28-2build2
2016-01-09 09:37:28 status half-installed libxslt1.1:amd64 1.1.28-2build2
2016-01-09 09:37:28 status unpacked libxslt1.1:amd64 1.1.28-2build2
2016-01-09 09:37:28 status unpacked libxslt1.1:amd64 1.1.28-2build2
2016-01-09 09:37:28 install nginx-common:all <none> 1.6.2-5ubuntu3.1
2016-01-09 09:37:28 status half-installed nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:28 status triggers-pending man-db:amd64 2.7.0.2-5
2016-01-09 09:37:28 status triggers-pending ufw:all 0.34~rc-0ubuntu5
2016-01-09 09:37:28 status half-installed nginx-common:all 1.6.2-5ubuntu3.1
2016-01-09 09:37:28 status triggers-pending systemd:amd64 219-7ubuntu6
